                                                                                                                     
{'loss': 1.3535, 'grad_norm': 2.9233756065368652, 'learning_rate': 1.9970025578407624e-05, 'epoch': 0.07}
{'loss': 1.2925, 'grad_norm': 2.7380783557891846, 'learning_rate': 1.996971592378919e-05, 'epoch': 0.07}
{'loss': 1.399, 'grad_norm': 3.823281764984131, 'learning_rate': 1.9969404680341583e-05, 'epoch': 0.07}
{'loss': 1.446, 'grad_norm': 2.8380072116851807, 'learning_rate': 1.99690918481144e-05, 'epoch': 0.08}
{'loss': 1.417, 'grad_norm': 3.0440728664398193, 'learning_rate': 1.996877742715749e-05, 'epoch': 0.08}
{'loss': 1.2565, 'grad_norm': 2.774505376815796, 'learning_rate': 1.996846141752097e-05, 'epoch': 0.08}
{'loss': 1.3628, 'grad_norm': 2.9210453033447266, 'learning_rate': 1.99681438192552e-05, 'epoch': 0.08}
{'loss': 1.3611, 'grad_norm': 3.1964550018310547, 'learning_rate': 1.9967824632410788e-05, 'epoch': 0.08}
{'loss': 1.3194, 'grad_norm': 2.981017589569092, 'learning_rate': 1.996750385703861e-05, 'epoch': 0.08}
{'loss': 1.2168, 'grad_norm': 2.937476396560669, 'learning_rate': 1.9967181493189777e-05, 'epoch': 0.08}
{'loss': 1.228, 'grad_norm': 2.653791666030884, 'learning_rate': 1.9966857540915673e-05, 'epoch': 0.08}
{'loss': 1.2968, 'grad_norm': 2.708315372467041, 'learning_rate': 1.9966532000267917e-05, 'epoch': 0.08}
{'loss': 1.3475, 'grad_norm': 2.9889793395996094, 'learning_rate': 1.996620487129839e-05, 'epoch': 0.08}
{'loss': 1.3752, 'grad_norm': 2.675075054168701, 'learning_rate': 1.996587615405923e-05, 'epoch': 0.08}
{'loss': 1.1767, 'grad_norm': 2.82590389251709, 'learning_rate': 1.9965545848602818e-05, 'epoch': 0.08}
{'loss': 1.1691, 'grad_norm': 2.6070873737335205, 'learning_rate': 1.9965213954981793e-05, 'epoch': 0.08}
{'loss': 1.4292, 'grad_norm': 2.4266700744628906, 'learning_rate': 1.9964880473249052e-05, 'epoch': 0.08}
{'loss': 1.3135, 'grad_norm': 3.0874059200286865, 'learning_rate': 1.996454540345774e-05, 'epoch': 0.08}
{'loss': 1.3698, 'grad_norm': 2.6553964614868164, 'learning_rate': 1.996420874566125e-05, 'epoch': 0.08}
{'loss': 1.3585, 'grad_norm': 3.3064098358154297, 'learning_rate': 1.9963870499913236e-05, 'epoch': 0.08}
